region,health_ratio,ratio_underage_partic,coeff_Gini,not_smoking_male%,not_smoking_female%,num_of_criminals,num_of_alcohol_crimes,num_of_female_crimes,num_of_drugs_crimes,num_of_underaged_criminals,life_quality,population_size,num_of_crimes
Республика Калмыкия,6.216666666666668,0.2666333333333333,0.3358,67.49685989412117,95.72862717460926,1542.5,530.0,164.33333333333334,10.666666666666666,38.16666666666666,47.4545,267662,2712.0
Республика Крым,18.98333333333333,0.3718166666666667,0.3326,60.86422110496064,90.027395116657,10648.666666666666,2274.333333,1676.5,60.5,300.0,58.5315,1924850,20915.4
Краснодарский край,12.35,0.2928333333333333,0.408,69.08364267593154,92.43174093048064,25991.666666666668,4854.0,4380.166666666667,163.66666666666666,730.3333333333334,76.592,5814592,73155.8
Астраханская область,8.133333333333333,0.5492,0.3572,63.60116894108688,90.57709110960796,6443.333333333333,1659.0,1119.3333333333333,50.66666666666666,249.3333333333333,52.182,962078,11838.0
Волгоградская область,12.116666666666667,0.537,0.3485999999999999,60.66218740409158,91.02734995148217,12826.833333333334,4411.5,2199.6666666666665,67.66666666666667,546.8333333333334,55.662,2492150,33979.0
Ростовская область,14.433333333333332,0.3386499999999999,0.3938,60.07876063468741,90.83667553278694,19508.0,3824.3333333333335,3740.0,112.83333333333331,570.5,69.67099999999999,4191164,53308.4
г. Севастополь,28.48333333333333,0.3237833333333333,0.333,68.35331400011728,83.96698305939451,2317.5,677.1666667,379.6666666666667,28.0,68.33333333333333,63.4765,541962,6014.2
Республика Дагестан,10.033333333333331,0.1070333333333333,0.3838,81.47773050403417,99.55996555334212,9379.333333333334,639.3333333333334,1310.6666666666667,19.83333333333333,206.16666666666663,48.678,3184539,14126.4
Республика Ингушетия,29.78333333333333,0.0710666666666666,0.336,90.04889598803311,100.0,1055.8333333333333,114.83333333333331,155.16666666666666,21.83333333333333,25.5,35.014,510999,2077.8
Кабардино-Балкарская Республика,20.4,0.1551333333333333,0.3618,72.91332409904464,99.3914247777083,3948.5,402.1666666666667,620.3333333333334,41.0,67.5,53.915,901640,7038.0
Карачаево-Черкесская Республика,15.283333333333331,0.2416833333333333,0.3308,72.29379502239284,98.39788799587733,2176.6666666666665,404.8333333333333,315.8333333333333,44.333333333333336,59.66666666666666,44.016000000000005,469261,4543.8
Республика Северная Осетия-Алания,16.8,0.180233333,0.3583999999999999,75.27833054622504,99.12191828965491,3916.0,365.0,573.0,47.5,61.0,51.276,686512,8780.2
Чеченская Республика,10.366666666666667,0.0035833333333333,0.3783999999999999,95.5684047710234,99.93818,1998.1666666666667,107.83333333333331,304.6666666666667,3.1666666666666665,4.166666666666667,51.358,1513272,2570.6
Ставропольский край,12.0,0.3733166666666667,0.3448,58.042461456744334,92.6160523983296,12739.166666666666,1981.0,2159.833333333333,67.0,477.1666666666667,62.9025,2895597,32377.4
Республика Башкортостан,8.499999999999998,0.3171833333333334,0.386,62.23926491821794,93.09018510010765,18908.666666666668,8664.5,2976.333333333333,170.5,589.5,63.052,4088953,51152.0
Республика Марий Эл,12.383333333333333,0.3707499999999999,0.3534,62.46634783392831,93.34695464841886,2798.6666666666665,1128.3333333333333,493.8333333333333,11.5,110.5,51.6425,676440,8681.2
Республика Мордовия,10.816666666666668,0.3237833333333333,0.359,70.68899074684502,97.60293190353994,3329.333333333333,1244.0,501.6666666666667,74.83333333333333,96.0,55.488,781838,8229.6
Республика Татарстан,13.983333333333333,0.3542666666666667,0.3856,63.65319613185877,95.6718762650694,16978.5,6552.666666666667,2656.6666666666665,243.0,577.8333333333334,75.854,3998542,52629.0
Удмуртская Республика,11.666666666666666,0.5665166666666667,0.3472,59.07744780010832,91.6824729301628,9432.5,4302.833333333333,1561.3333333333333,89.33333333333333,386.5,58.223,1452704,24384.6
Чувашская Республика - Чувашия,16.066666666666666,0.339983333,0.3541999999999999,64.65950112,96.27400214,5131.0,1960.0,830.0,88.33333333,179.0,62.0835,1185785,12237.4
Пермский край,6.183333333333333,0.5116999999999999,0.3872,58.27572970798593,86.82051100233474,14256.333333333334,6032.833333333333,2636.5,155.16666666666666,599.5,57.0635,2532746,41288.8
Кировская область,6.800000000000001,0.6085666666666668,0.35,60.61010983119117,91.80341606645824,7162.333333333333,3291.833333333333,1252.6666666666667,24.666666666666668,302.3333333333333,48.266,1158719,18706.8
Нижегородская область,6.116666666666667,0.39605,0.3946,62.2451569008626,91.72299599882383,13799.666666666666,4870.5,2361.6666666666665,108.5,492.0,65.68100000000001,3115741,36730.2
Оренбургская область,6.833333333333333,0.3734166666666667,0.372,61.07279875389107,93.87971210129838,10946.333333333334,4199.5,1793.5,80.66666666666667,319.6666666666667,57.212500000000006,1862136,21686.2
Пензенская область,10.733333333333334,0.3024666666666666,0.3607999999999999,58.59022854019035,95.13272746899898,6186.333333333333,2377.5,1016.5,22.83333333333333,149.33333333333334,59.1535,1264872,13231.2
Самарская область,10.1,0.3530166666666667,0.3716,63.17002404839194,93.07195173202383,13763.666666666666,4222.833333333333,2466.0,268.0,442.8333333333333,67.41550000000001,3165386,46097.2
Саратовская область,8.233333333333333,0.3678166666666667,0.3647999999999999,59.53179521421153,90.08343306395,11209.833333333334,3992.6666666666665,1903.8333333333333,254.8333333333333,354.6666666666667,56.839,2432467,28979.6
Ульяновская область,6.9,0.44825,0.3541999999999999,62.40926935206652,93.4887886620376,5411.666666666667,2046.8333333333333,896.8333333333334,29.666666666666668,205.16666666666663,60.708,1195548,11327.0
Курганская область,9.083333333333334,0.6139833333333333,0.3601999999999999,62.97040886546539,91.29023022086746,5836.333333333333,2666.6666666666665,1042.1666666666667,42.5,222.66666666666663,44.245,776181,12759.4
Свердловская область,6.966666666666666,0.5885,0.4009999999999999,59.78923026346765,85.67381592988218,22849.33333333333,8864.0,3873.0,194.5,1077.3333333333333,65.7735,4265681,49844.6
Ханты-Мансийский автономный округ - Югра,8.85,0.2155,0.3906,63.66005096,90.40985548,7696.5,2759.0,1279.3333333333333,66.33333333333333,190.0,65.7455,1716960,22580.6
Ямало-Ненецкий автономный округ,9.2,0.2391333333333333,0.455,64.15676093,88.75974066,3052.0,1319.3333333333333,549.5,45.66666666666666,69.5,61.971,511957,6742.8
Тюменская область,13.58333333333333,0.52565,0.3822,63.20805963076803,89.98399068005126,9153.333333333334,3587.833333,1462.1666666666667,125.0,383.5,65.70500000000001,1596746,24224.6
